No,E,N,ndsm,ndvi,class6
325,537182.71,5228970.26,5.42,-0.201716738,b
326,537180.817,5228970.843,5.32,-0.1,b
327,537182.744,5228970.372,5.46,-0.176954733,b
328,537182.778,5228970.483,5.5,-0.198347107,b
329,537182.812,5228970.594,5.55,-0.157894737,b
330,537182.847,5228970.706,5.57,-0.210727969,b
331,537182.881,5228970.817,5.59,-0.207843137,b
332,537181.485,5228969.052,4.92,-0.160377358,b
333,537181.185,5228969.267,4.92,-0.170305677,b
334,537181.219,5228969.378,4.96,-0.136363636,b
335,537181.254,5228969.489,5,-0.076923077,b
336,537181.288,5228969.601,5.03,-0.130044843,b
337,537181.322,5228969.712,5.07,-0.110132159,b
338,537181.356,5228969.823,5.11,-0.105263158,b
339,537181.391,5228969.935,5.17,-0.13559322,b
340,537181.425,5228970.046,5.2,-0.140495868,b
341,537181.459,5228970.157,5.24,-0.152263374,b
342,537182.187,5228968.958,4.92,-0.191836735,b
343,537181.493,5228970.269,5.3,-0.156118143,b
344,537182.221,5228969.07,4.96,-0.170940171,b
345,537181.528,5228970.38,5.36,-0.159663866,b
346,537181.374,5228969.087,4.91,-0.118181818,b
347,537182.256,5228969.181,5.03,-0.236947791,b
348,537181.562,5228970.491,5.41,-0.181818182,b
349,537182.29,5228969.292,5.07,-0.221757322,b
350,537181.596,5228970.603,5.43,-0.141630901,b
351,537182.324,5228969.404,5.09,-0.18018018,b
352,537181.63,5228970.714,5.45,-0.170305677,b
353,537182.358,5228969.515,5.15,-0.182978723,b
354,537181.665,5228970.825,5.49,-0.188034188,b
355,537182.393,5228969.626,5.2,-0.181034483,b
356,537182.427,5228969.738,5.21,-0.137777778,b
357,537180.534,5228970.32,5.18,-0.07826087,b
358,537180.568,5228970.431,5.23,-0.128630705,b
359,537182.461,5228969.849,5.22,-0.12173913,b
360,537180.603,5228970.543,5.26,-0.165957447,b
361,537182.496,5228969.96,5.25,-0.189873418,b
362,537180.637,5228970.654,5.29,-0.154716981,b
363,537182.53,5228970.072,5.31,-0.142857143,b
364,537180.671,5228970.765,5.31,-0.186567164,b
365,537182.564,5228970.183,5.37,-0.147410359,b
366,537182.598,5228970.294,5.43,-0.214285714,b
367,537181.228,5228969.01,4.89,-0.12037037,b
368,537181.262,5228969.121,4.91,-0.142857143,b
369,537182.633,5228970.406,5.47,-0.180327869,b
